"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","45","Allen, Kadeem (TW)","6 ft 3 in (1.91 m)","200 lb (91 kg)","1993–01–15","Arizona"
"C","46","Baynes, Aron","6 ft 10 in (2.08 m)","260 lb (118 kg)","1986–12–09","Washington State"
"G","26","Bird, Jabari (TW)","6 ft 6 in (1.98 m)","198 lb (90 kg)","1994–07–03","UC Berkeley"
"G/F","7","Brown, Jaylen","6 ft 7 in (2.01 m)","225 lb (102 kg)","1996–10–24","UC Berkeley"
"F","20","Hayward, Gordon","6 ft 8 in (2.03 m)","226 lb (103 kg)","1990–03–23","Butler"
"F/C","42","Horford, Al","6 ft 10 in (2.08 m)","245 lb (111 kg)","1986–06–03","Florida"
"G","11","Irving, Kyrie","6 ft 3 in (1.91 m)","193 lb (88 kg)","1992–03–23","Duke"
"G","8","Larkin, Shane","5 ft 11 in (1.80 m)","175 lb (79 kg)","1992–10–02","Miami (FL)"
"F","13","Morris, Marcus","6 ft 9 in (2.06 m)","235 lb (107 kg)","1989–09–02","Kansas"
"F","28","Nader, Abdel","6 ft 6 in (1.98 m)","230 lb (104 kg)","1993–09–25","Iowa State"
"F","37","Ojeleye, Semi","6 ft 7 in (2.01 m)","235 lb (107 kg)","1994–12–05","Southern Methodist"
"G","12","Rozier, Terry","6 ft 2 in (1.88 m)","190 lb (86 kg)","1994–03–17","Louisville"
"G","36","Smart, Marcus","6 ft 4 in (1.93 m)","220 lb (100 kg)","1994–03–06","Oklahoma State"
"F","0","Tatum, Jayson","6 ft 8 in (2.03 m)","205 lb (93 kg)","1998–03–03","Duke"
"F/C","27","Theis, Daniel","6 ft 9 in (2.06 m)","243 lb (110 kg)","1992–04–04","Germany"
"F","30","Yabusele, Guerschon","6 ft 8 in (2.03 m)","260 lb (118 kg)","1995–12–17","France"
