"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","8","Bogdanović, Bogdan","6 ft 6 in (1.98 m)","205 lb (93 kg)","1992–08–18","Serbia"
"G/F","15","Carter, Vince","6 ft 6 in (1.98 m)","220 lb (100 kg)","1977–01–26","North Carolina"
"C","00","Cauley-Stein, Willie","7 ft 0 in (2.13 m)","240 lb (109 kg)","1993–08–18","Kentucky"
"C","45","Cooley, Jack (TW)","6 ft 10 in (2.08 m)","274 lb (124 kg)","1991–04–04","Notre Dame"
"G","5","Fox, De'Aaron","6 ft 3 in (1.91 m)","175 lb (79 kg)","1997–12–20","Kentucky"
"F/C","20","Giles, Harry","6 ft 10 in (2.08 m)","240 lb (109 kg)","1998–04–22","Duke"
"G","24","Hield, Buddy","6 ft 4 in (1.93 m)","214 lb (97 kg)","1993–12–17","Oklahoma"
"G","3","Hill, George","6 ft 3 in (1.91 m)","188 lb (85 kg)","1986–05–04","IUPUI"
"F","25","Jackson, Justin","6 ft 8 in (2.03 m)","210 lb (95 kg)","1995–03–28","North Carolina"
"C","41","Koufos, Kosta","7 ft 0 in (2.13 m)","265 lb (120 kg)","1989–02–24","Ohio State"
"F/C","7","Labissière, Skal","6 ft 11 in (2.11 m)","225 lb (102 kg)","1996–03–18","Kentucky"
"G","10","Mason, Frank","5 ft 11 in (1.80 m)","190 lb (86 kg)","1994–04–03","Kansas"
"C","13","Papagiannis, Georgios (GL)","7 ft 1 in (2.16 m)","240 lb (109 kg)","1997–07–03","American School (GRE)"
"F","50","Randolph, Zach","6 ft 9 in (2.06 m)","250 lb (113 kg)","1981–07–16","Michigan State"
"G","23","Richardson, Malachi","6 ft 6 in (1.98 m)","205 lb (93 kg)","1996–01–05","Syracuse"
"F","29","Sampson, JaKarr (TW)","6 ft 9 in (2.06 m)","207 lb (94 kg)","1993–03–20","St. John's"
"G","17","Temple, Garrett","6 ft 6 in (1.98 m)","195 lb (88 kg)","1986–05–08","LSU"
