"Republica Taliana Repubblica Italiana"
"","","","","","","","",""
"","","",""
"","","",""
"Mottu: '"
""
"Lingua officiale:","Talianu"
"Capitale:","Roma  (2.711.476 ab. / 2007)"
"Pulitica"
"Forma di guvernu:","Republica parlamentare"
"Presidente:","Giorgio Napolitano"
"Presidente di u Cunsigliu di i Ministri:","Silvio Berlusconi"
"Indipendenza:","17 di marzu 1861"
"Entrata in l'ONU:","14 di decembre 1955"
"Entrata in l'UE:","25 di marzu 19571"
"Superficia"
"Tutale:","301.338 km²"
"Acque:","2,4 %"
"Pupulazione"
"Tutale:","59.131.287 ab."
"Densità:","196,2 ab./km²"
"Geografia"
"Cuntinente:","Europa"
"Fusu orariu:","UTC +1"
"Ecunumia"
"Valuta:","Euro"
"Energia:",""
"Varie"
"TLD:",".it"
"Prefissu tel.:","+39"
"Siglu autom.:","I"
"Innu:","U Cantu di i Taliani"
"Festa naziunale:","2 di ghjugnu"
"1 Membru fundadore."
