filename,algo,sim,threshold,exe,pairs,lookups,indexEntriesSeen,candidatesP1,candidatesVerify,verifyTrueSteps,verifyTrueSetSizeSum,verifyTrueSetSizeCnt,verifyFalseSteps,verifyFalseSetSizeSum,verifyFalseSetSizeCnt,verifyLoop0True,verifyLoop0False,readrawrecords,algoindex,algojoin,readrawforeignrecords,adaptjoinlastext0,adaptjoinlastext1,adaptjoinlastext2,adaptjoinlastext3,adaptjoinlastext4,adaptjoinlastext5,adaptjoinlastext6,adaptjoinlastext7,adaptjoinlastext8,adaptjoinlastext9,adaptjoinlastext10,adaptjoinlastext11,adaptjoinlastext12,adaptjoinlastext13,adaptjoinlastext14,adaptjoinlastext15,adaptjoinlastext16,adaptjoinlastext17,adaptjoinlastext18,adaptjoinlastext19,adaptjoinlastext20
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.85,set_sim_join_candonly,0,,,,,,,,,,,,,3268,1748,2044,436,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.9,set_sim_join_candonly,0,,,,,,,,,,,,,3376,1156,5204,516,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.5,set_sim_join_nostat,2406980403,,,,,,,,,,,,,3820,1116,512172,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.75,set_sim_join_candonly,0,,,,,,,,,,,,,3368,1652,91648,416,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.75,set_sim_join_candonly,0,,,,,,,,,,,,,3224,1036,17256,424,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.85,set_sim_join_nostat,3828906,,,,,,,,,,,,,3360,1224,13444,424,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.95,set_sim_join_nostat,3761447,,,,,,,,,,,,,3444,1208,9040,428,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.7,set_sim_join_candonly,0,,,,,,,,,,,,,3472,1228,93956,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.85,set_sim_join_ext_stat,3828906,1062948,327922177,193434239,193434239,3435905,27695505,7657812,297483503,1857130848,379210666,2624904,25469,3460,1076,10236,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.9,set_sim_join_candonly,0,,,,,,,,,,,,,3312,1608,1656,432,,,,,,,,,,,,,,,,,,,,,
